,year,region,yield
131,2016,Sanmu,0.8302040640342792
132,2015,Sanmu,0.5097428357043665
133,2014,Sanmu,1.0632667755469427
134,2013,Sanmu,0.975868258729694
135,2012,Sanmu,0.888469741912445
136,2011,Sanmu,0.16014876843537104
137,2010,Sanmu,0.6845398693388643
138,2009,Sanmu,-0.13117962095545857
139,2008,Sanmu,1.4419936817550212
140,2007,Sanmu,-0.568172205041703
141,2006,Sanmu,-0.3351094935290393
142,2005,Sanmu,0.5097428357043665
143,2004,Sanmu,1.120870610132595
144,2003,Sanmu,-0.8146915153998331
145,2002,Sanmu,-0.24725505480252408
146,2001,Sanmu,-0.09774705819077353
147,2000,Sanmu,0.7619720844516632
148,1999,Sanmu,-0.014012187745770305
149,1998,Sanmu,-1.2276857072114118
150,1997,Sanmu,0.09573120449974853
151,1996,Sanmu,-0.41568162016921223
152,1995,Sanmu,-0.9423250261047867
153,1994,Sanmu,0.059879341762052854
154,1993,Sanmu,-3.1434544449561317
